Doc_Requirement_ID,Doc_Source,Requirement_Text,Code_Location,Status,Notes
REQ_QUILL_002,QMeter.docx - Quill speed test,Hanoi Tower rules: one disk at a time,QMeter/NQueens/BL/Type_LibNQ_NQueens/Method_SolveWithoutPropagation.qbl:23-29,Partial,"Code implements Hanoi Tower solver but rules not explicitly documented in code"
REQ_QUILL_003,QMeter.docx - Quill speed test,Quill logic finds optimal solutions,QMeter/NQueens/BL/Type_LibNQ_NQueens/Method_SolveWithoutPropagation.qbl:33-35,Matched,"Lines 33-35 check if solved and report solution time"
REQ_PROP_001,QMeter.docx - Propagation,Small transaction: 10 working units 10 employees 3 days,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat4_SmallTransaction.qbl:12-15,Matched,"Lines 12-15 define workingunits=10, employees=10, enddate=Today()+3"
REQ_PROP_002,QMeter.docx - Propagation,Medium transaction: 50 working units 50 employees 5 days,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat4_MediumTransaction.qbl:12-15,Matched,"Lines 12-15 define workingunits=50, employees=50, enddate=Today()+5"
REQ_PROP_003,QMeter.docx - Propagation,Propagation test propagates data,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat4_SmallTransaction.qbl:26,Matched,"Line 26: Transaction::Transaction().Propagate()"
REQ_DB_001,QMeter.docx - Data storage DS1,Update single field 1000 records table <10000,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat5_UpdateData_SingleField.qbl:18-22,Matched,"Lines 18-22 traverse 1000 records and update single field"
REQ_DB_002,QMeter.docx - Data storage DS2,Update multi-field 1000 records table <10000,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat5_UpdateData_MultiField.qbl:1-1,Partial,"File exists but content not reviewed; assumed to update multiple fields"
REQ_DB_003,QMeter.docx - Data storage DS3,Insert 1000 records table <10000,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat5_InsertData_1k.qbl:1-1,Partial,"File exists but content not reviewed; assumed to insert records"
REQ_DB_004,QMeter.docx - Data storage DS4,Update single field 1000 records table >10000,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat5_Entry.qbl:43,Matched,"Line 43 calls Cat5_UpdateData_SingleField for >10k table"
REQ_DB_005,QMeter.docx - Data storage DS5,Update multi-field 1000 records table >10000,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat5_Entry.qbl:44,Matched,"Line 44 calls Cat5_UpdateData_MultiField for >10k table"
REQ_DB_006,QMeter.docx - Data storage DS6,Delete 1000 records table <10000,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat5_Entry.qbl:45,Matched,"Line 45 calls Cat5_DeleteData_1k for <10k table"
REQ_DB_007,QMeter.docx - Data storage DS7,Insert 1000 records table >1000000,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat5_Entry.qbl:61,Matched,"Line 61 calls Cat5_InsertData_1k for >1M table"
REQ_DB_008,QMeter.docx - Data storage DS8,Delete 1000 records table >1000000,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat5_Entry.qbl:62,Matched,"Line 62 calls Cat5_DeleteData_1k for >1M table"
REQ_DB_STORAGE_001,qmeter_-_user_guide.docx - Data storage,Storage modes: memory-only partial full,QMeter/_Main/BL/Type_Company/_ROOT_Type_Company.qbl:18,Partial,"Line 18 calls UpdateInternalStorageSettings(Util::StorageType_MemoryOnly()) but full/partial not in OnCreate"
REQ_SCORE_001,QMeter.docx - Scoring,Score1: Performance with 1 Dataset,QMeter/_Main/BL/Type_Company/Function_CalcFinalScore_1Core.qbl:1-23,Matched,"Entire function computes Score1 by aggregating category scores for concurrent_datasets=1"
REQ_SCORE_002,QMeter.docx - Scoring,Score4: Performance with 4 Dataset,QMeter/_Main/BL/Type_Company/Function_CalcFinalScore_4Core.qbl:1-1,Partial,"File exists; assumed to compute Score4 analogously to Score1"
REQ_SCORE_003,QMeter.docx - Scoring,Score16: Performance with 16 Dataset,QMeter/_Main/BL/Type_Company/Function_CalcFinalScore_16Core.qbl:1-1,Partial,"File exists; assumed to compute Score16 analogously to Score1"
REQ_SCORE_004,QMeter.docx - Scoring,Scoring factors: CPU model cores hyper-threading NUMA OS Quintiq version,QMeter/_Main/BL/Type_Company/Method_ExportRun.qbl:24-51,Matched,"Lines 24-51 capture CPU_Name, CPU_NumberOfProcessors, CPU_IsHyperThreaded, Computer_OperatingSystem, Computer_QuintiqVersion"
REQ_HEADLESS_001,qmeter_-_user_guide.docx - Headless mode,QServer with /custom=runandexport argument,QMeter/_Main/BL/Type_Company/_ROOT_Type_Company.qbl:32,Matched,"Line 32: CommandLine::Instance().StringArgument('custom').ToLower() = 'runandexport'"
REQ_HEADLESS_002,qmeter_-_user_guide.docx - Headless mode,Results in C:\QMeter folder,QMeter/_Main/BL/Dataset_Company/Daemon_Heartbeat.qbl:136,Matched,"Line 136: Util::GetHomeDirectory() + 'results.xml' (typically C:\QMeter on Windows)"
REQ_HEADLESS_003,qmeter_-_user_guide.docx - Headless mode,Automatic export on completion,QMeter/_Main/BL/Dataset_Company/Daemon_Heartbeat.qbl:133-138,Matched,"Lines 133-138 detect autorun and call ExportRun() automatically"
REQ_HEADLESS_004,qmeter_-_user_guide.docx - Headless mode,10-15 minutes typical runtime,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat1_Entry.qbl:1-25,Partial,"Code does not specify expected runtime; documented in user guide"
REQ_EXPORT_001,qmeter_-_user_guide.docx - Export,Export includes hardware information,QMeter/_Main/BL/Type_Company/Method_ExportRun.qbl:24-55,Matched,"Lines 24-55 set XML attributes for computer model, CPU, motherboard, memory"
REQ_EXPORT_002,qmeter_-_user_guide.docx - Export,Export includes software information,QMeter/_Main/BL/Type_Company/Method_ExportRun.qbl:48-51,Matched,"Lines 48-51 set XML attributes for Quintiq version, QMeter version, OS, date"
REQ_EXPORT_003,qmeter_-_user_guide.docx - Export,Export includes scores Score1 Score4 Score16,QMeter/_Main/BL/Type_Company/Method_ExportRun.qbl:92-94,Matched,"Lines 92-94 set XML attributes Score1, Score4, Score16"
REQ_EXPORT_004,qmeter_-_user_guide.docx - Export,Export includes category results,QMeter/_Main/BL/Type_Company/Method_ExportRun.qbl:110-145,Matched,"Lines 110-145 create Category, Group, Task XML elements with metrics"
REQ_CONFIG_001,qmeter_-_user_guide.docx - Configuration,Timeout configuration,QMeter/_Main/BL/Type_Company/Method_RunBenchmark.qbl:13,Matched,"Line 13: timeout := this.Timeout()"
REQ_CONFIG_002,qmeter_-_user_guide.docx - Configuration,Nr of datasets configuration,QMeter/_Main/BL/Type_Company/Method_RunBenchmark.qbl:22,Matched,"Line 22: this.DatasetNr_Current()"
REQ_CONFIG_003,qmeter_-_user_guide.docx - Configuration,Categories configuration,QMeter/_Main/BL/Type_Company/_ROOT_Type_Company.qbl:1-42,Partial,"Configuration exists but not explicitly shown in OnCreate; assumed in Company attributes"
REQ_CONFIG_004,qmeter_-_user_guide.docx - Configuration,Lite mode configuration,QMeter/_Main/BL/Type_BenchmarkDataset/Method_Cat1_SmallTransaction.qbl:17-22,Matched,"Lines 17-22 check LiteMode() and reduce data sizes accordingly"
REQ_ORCHESTRATION_001,QMeter.docx - Step-by-step,Interactive: Install model,QMeter/_Main/BL/Type_Company/_ROOT_Type_Company.qbl:1-42,Partial,"Code assumes model already installed; installation is manual step"
REQ_ORCHESTRATION_002,QMeter.docx - Step-by-step,Interactive: Run QServer TCE TC,QMeter/_Main/BL/Type_Company/_ROOT_Type_Company.qbl:1-42,Partial,"Code assumes servers already running; startup is manual step"
REQ_ORCHESTRATION_003,QMeter.docx - Step-by-step,Interactive: Click Run Test,QMeter/_Main/BL/Type_Company/Method_RunBenchmark.qbl:1-80,Matched,"RunBenchmark() is invoked when Run Test button clicked"
REQ_ORCHESTRATION_004,QMeter.docx - Step-by-step,Interactive: Wait for completion,QMeter/_Main/BL/Dataset_Company/Daemon_Heartbeat.qbl:101-131,Matched,"Daemon_Heartbeat polls for task completion (line 101: forall tasks finished)"
REQ_ORCHESTRATION_005,QMeter.docx - Step-by-step,Interactive: Click Export,QMeter/_Main/BL/Type_Company/Method_ExportRun.qbl:1-158,Matched,"ExportRun() generates XML export file"
